SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
41,,,Three nos light of dining hall not working ,,,,Electrical,Light-not working,low,,,,,,
42,,,Its an issue of concern because it is related to safety and hygeine. ,,,,Civil,Front Drain Damage,high,,,,,,
43,,,"Termite treatment required for room number 1 ,2 doors and kitchen slab wall",,,,Housekeeping,Antitermite Treatment,high,,,,,,
44,,,Cooling not done last 10 days,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
45,,,Fan not working ,,,,Electrical,Celing fan-Not working,high,,,,,,
46,,,Kitchen sink damage ,,,,Civil,Repairs to kitchen sink,low,,,,,,
47,,,Power not coming in dinning room fan.,,,,Electrical,Power cable/catenery/wiring-smoke/fire,high,,,,,,
48,,,"Toilet floor damaged/broken, any time our toilet will completely damaged/broken. ",,,,Civil,Outhouse Toilet floor repair,high,,,,,,
49,,,Kitchen gas platform repair ,,,,Civil,Repairs to gas platform,low,,,,,,
50,,,Bathroom bow handle damaged,,,,Civil,Bathroom bow handle repair,high,,,,,,
51,,,Kitchen slab damaged.,,,,Civil,Kitchen floor repair,high,,,,,,
52,,,Bedroom door and it's hinge damaged,,,,Woodwork,Bedroom-2 door hinge repair,high,,,,,,
53,,,Bedroom window shutter and it's hinge damaged.,,,,Woodwork,Bedroom-1 window shutter repair,high,,,,,,
54,,,Water doesn't come out of the bathroom,,,,Housekeeping,Bathroom Jam,high,,,,,,
55,,,Not working ,,,,Electrical,Switch-Not working,low,,,,,,
56,,,Leakage from upstairs while raining,,,,Civil,Repairs to staircase,high,,,,,,
57,,,"Manhole Cover Damage, Safety concern ",,,,Civil,Manhole Covers Damaged/missing,high,,,,,,
58,,,No water.Pl.send Tanker immediately .5th complian in the same month. Pl correct supply line and monitor water level daily for next one month,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
59,,,Staircase wall plaster,,,,Civil,Repairs to staircase,low,,,,,,
60,,,Wall seapage near main hall. This problem has increased after recent repair ,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
61,,,Back side door lock repair ,,,,Steel Works,Repairs to back steel door,high,,,,,,
62,,,Window glass is broken causing privacy concerns ...bathroom and washroom both glasses are not up to the mark .,,,,Civil,Bathroom window hinge repair,high,,,,,,
63,,,"Door is out of their fixing location, so it is not closing.",,,,Woodwork,Bathroom door shutter repair,low,,,,,,
64,,,Due to Natural crack of basin,,,,Water and Plumbing Work,Wash Basin to be checked,low,,,,,,
65,,,Window complete change needed,,,,Civil,Bathroom ventilator frame repair,high,,,,,,
66,,,"Toilet Floor is completely broken and not at all usable causing various insects and worms , also the commode is broken needs to be changed with immediate effect.",,,,Civil,Outhouse Toilet floor repair,high,,,,,,
67,,,"Hall wash basin pipe leaking, after making first complaint, plumber said that there is an outlet pipe leakage.",,,,Water and Plumbing Work,Wash Basin to be checked,low,,,,,,
68,,,Antitermite treatment in home.,,,,Housekeeping,Antitermite Treatment,high,,,,,,
69,,,Mosquito spray in home,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
70,,,"Issue of trip in bathroom when geyser is switched on
",,,,Electrical,Other Misc.Request - old cases,low,,,,,,
71,,,Back door needs to be changed due to wholes on it. Rust has created various wholes on the door. Its major concern for safety from anti social elements. ,,,,Steel Works,MS Gate - Replacement,high,,,,,,
72,,,Bathroom tanki leakage ,,,,Civil,Miscellaneous Work,high,,,,,,
73,,,"Backside of home ,floor is damage,may accident.pls repair on urgent basis.",,,,Civil,Outhouse floor repair,high,,,,,,
74,,,Kitchen gas slab damage,,,,Civil,Repairs to kitchen sink,high,,,,,,
75,,,"Water leaking even after closing tap, wastage of water.",,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
76,,,Please respond resolved on priority wash basin jam ......,,,,Housekeeping,Wash Basin Jam,low,,,,,,
77,,,"Water storage tank cap is missing 
",,,,Water and Plumbing Work,OHS Tank cover to be Replaced,low,,,,,,
78,,,Kitchen & bathroom tap always leakage water ,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
79,,,Middle wall seepage of bathroom and dining hall water leaking in the dining room,,,,Civil,Repairs to wall seepage of bathroom & latrine,high,,,,,,
80,,,Regulator not working ,,,,Electrical,Celing fan-Regulator not functioning,high,,,,,,
81,,,"Water is leaking from the ground between points P15 and P16, likely due to an issue with the water pipeline. This is causing continuous water leakage, resulting in significant water wastage. It could lead potential disruption of water supply. Please rectify.",,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,low,,,,,,
82,,,"Due to manhole cover damage ,it is too much problem in rainy season.",,,,Civil,Manhole Covers Damaged/missing,high,,,,,,
83,,,"Back side of N139/12, two street light not working",,,,Electrical,Street light-Not working,high,,,,,,
84,,,Ceiling fan of porch not working ,,,,Electrical,Celing fan-Not working,high,,,,,,
85,,,"1st bathroom door is broken, in center",,,,Woodwork,Bathroom door easing,low,,,,,,
86,,,Balcony floor wall side damaged ,,,,Civil,Drawing Room floor repair,high,,,,,,
87,,,The 2nd entrance or exit door is jammed. Lots of force is needed to close and open,,,,Civil,Door closer - Repair,high,,,,,,
88,,,Bathroom and toilet wall leakage due to pipe line leakage,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
89,,,Earlier complaint cancelled without closure. Bathroom cistern leakage and always water on the floor ,,,,Civil,Miscellaneous Work,high,,,,,,
90,,,Bathroom floor damage,,,,Civil,Bathroom floor repair,low,,,,,,
91,,,Balcony roof plaster falling which are leading to head damage ,,,,Civil,Repairs to ceiling plaster,low,,,,,,
92,,,"Window is not open due to tree branches, immediately trim branches.",,,,Housekeeping,Bush Cutting Required,high,,,,,,
93,,,Front drain jam,,,,Housekeeping,Front Drain Jam,low,,,,,,
94,,,Plant -1 Passage near Union office to shop via maintenance area : floor needs to be repaired.,,,,Civil,Floor near outlet - Repair,low,,,,,,
95,,,Balcony chajja repair,,,,Civil,Chajja - Repair,high,,,,,,
96,,,Gate requited at high mast tower periphari area at propane yard DG side,,,,Steel Works,MS Gate - Repair,low,,,,,,
97,,,Gate opening required for shib mandir gate high mast tower,,,,Steel Works,MS Gate - Repair,low,,,,,,
98,,,Damaged Wall to be repaired,,,,Civil,Store Room brick wall repair,high,,,,,,
99,,,Balcony upper wall repair.,,,,Civil,Chajja - Repair,high,,,,,,
100,,,Dining space- Switch board & switches broken.,,,,Electrical,Switch board-Broken,high,,,,,,
101,,,not working properly,,,,Electrical,Holder-angular holder not working,low,,,,,,
102,,,Balcony door not properly close,,,,Woodwork,Bedroom-1 door easing,low,,,,,,
103,,,Washbasin inlet pipe leakage ,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
104,,,Garage door frame broken ,,,,Woodwork,Door frames patch/copla/tiles/mosaic - Replacement and paint,high,,,,,,
105,,, ,,,,Civil,Bathroom ceiling plaster,high,,,,,,
106,,,New allotment,,,,Civil,New Allotment,high,,,,,,
107,,,new Allotment,,,,Electrical,New Allotment,high,,,,,,
108,,,Bad smell due to dead dog,,,,Housekeeping,Dead Animal Removal,high,,,,,,
109,,,920 470 5073,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
110,,,Stair case light fuse,,,,Electrical,Stair case light-Lamp holder broken/hanging,high,,,,,,
111,,,new Allotment,,,,Civil,New Allotment,high,,,,,,
112,,,new allotment,,,,Water and Plumbing Work,New Allotment,high,,,,,,
113,,,New Allotment,,,,Electrical,New Allotment,high,,,,,,
114,,,Roof seepage,,,,Civil,Repairs to roof leakage,high,,,,,,
115,,,Pathway damage,,,,Civil,Repairs to approach path ( road to gate ),low,,,,,,
116,,,Telco house out house sliding door ,,,,Woodwork,Sliding bolt of doors - Repair,low,,,,,,
117,,,New Allotment for Azad Market Case,,,,Civil,New Allotment,high,,,,,,
118,,,New Allotment for Azad Market Case,,,,Electrical,New Allotment,high,,,,,,
119,,,New Allotment for Azad Market Case,,,,Water and Plumbing Work,New Allotment,high,,,,,,
120,,,Telco house out house toilet door ,,,,Woodwork,Outhouse Toilet door easing,low,,,,,,
121,,,Telco house out house door damage ,,,,Woodwork,Outhouse door easing,low,,,,,,
122,,,Termites damaging my bungalow ,,,,Housekeeping,Antitermite Treatment,high,,,,,,
123,,,Wall seepage in bedroom and store room ,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
124,,,Dustbin is full,,,,Housekeeping,"Bin full, requires lifting",low,,,,,,
125,,,For water tanker requirements ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
126,,,2nd bedroom no power,,,,Electrical,No power-Single house,high,,,,,,
127,,,Empty water tank . Water not supplied. Pls either supply or provide tanker.,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
128,,,Door damage,,,,Civil,Kitchen door frame repair,high,,,,,,
129,,,Windows damage ,,,,Civil,Drawing Room window hinge repair,high,,,,,,
130,,,Water force issue. ,,,,Housekeeping,Wash Basin Jam,high,,,,,,
131,,,No water plz provide tanker as soon as possible,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
132,,,Door frame hinz area damage,,,,Woodwork,Kitchen door frame repair,high,,,,,,
133,,,"Water drains issue in front of the building.

For more details pls call me.",,,,Civil,Water logging infront of buildings,high,,,,,,
134,,,"Issue with water supply, no residual even with morning supply",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
135,,,Water outlet of balcony chocked. Water not draining. Whole balcony flooded. ,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
136,,,Water not available in tank,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
137,,,Urgent support required NO Power for 30 min,,,,Electrical,Light-not working,high,,,,,,
138,,,Basin tap continuously leakage. ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
139,,,Water is not coming ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
140,,,"Wash Basin Outlet Pipe Damage,Near Room No 09",,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
141,,,Toilet floor damage ,,,,Civil,Toilet-1 floor repair,high,,,,,,
142,,,Need Anti Termine treatment in dressing room  & Audiometry Room ,,,,Housekeeping,Antitermite Treatment,high,,,,,,
143,,,Need water supply as if we are out of water stock at home.,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
144,,,Kitchen window and glass diamond,,,,Woodwork,Bathroom frosted glass fixing,low,,,,,,
145,,,2nd no Light on Left side OHC Boundary wall as Covered with Cliamber Plant so Darkness in OHC Campus,,,,Electrical,Street light-block light not working,high,,,,,,
146,,,Bathroom glass dene,,,,Civil,Bathroom frosted glass fixing,low,,,,,,
147,,,Room No 04 Glass Mirror Replace,,,,Water and Plumbing Work,Glass shelf repair / replacement,high,,,,,,
148,,,Neighborhood support ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
149,,,Dining window damage ,,,,Civil,Back Drain Damage,low,,,,,,
150,,,Water over,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
151,,,Bedroom AC vent glass broken,,,,Civil,Bedroom-1 window glass pane fixing,high,,,,,,
152,,,"Bathroom floor and water tank need to be fully repair, tank leakage plus floor broken",,,,Civil,Bathroom floor repair,low,,,,,,
153,,,Holder to be replaced ,,,,Electrical,Light-not working,high,,,,,,
154,,,Water not passing at particular drain place,,,,Civil,Back Drain Damage,low,,,,,,
155,,,Water not Available ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
156,,,"There is a leakage and shepage in whole quarter no k2-8, cross road 12A, please repair as soon as possible",,,,Civil,Repairs to roof leakage,low,,,,,,
157,,,7562070862,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
158,,,Due to leakage and shepage problem in quarter plus bathroom and toilet please do repair and lay the carpet at roof,,,,Civil,GCI sheet roofing - Repair/Replacement,low,,,,,,
159,,,"No water in our block since from 6 pm.... 
Please arrange as soon as possible...",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
160,,,Toilet and verandah lights are flickering,,,,Electrical,Light-not working,low,,,,,,
161,,,please provide water tanker fill the tank,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
162,,,Water is empty in block so please send the Water tank in block it argent.,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
163,,,Bathroom floor repair ,,,,Civil,Bathroom floor repair,low,,,,,,
164,,,The tank has run out of water,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
165,,,Current happened in bathroom switch ,,,,Electrical,Power cable/wire/catenery-Burning smell,low,,,,,,
166,,,Street light near jaggi tent house outer road not working ,,,,Electrical,Street light-Not working,high,,,,,,
167,,,No power main MCB tripping not getting ON Urgent ,,,,Electrical,No power-Complete Area,high,,,,,,
168,,,Bow handle repairing and door hing and frame repairing.,,,,Woodwork,Bathroom bow handle repair,low,,,,,,
169,,,"Seepage in both the rooms and the front baramda area. 
Leakage from the upper side of the window from the side room. ",,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
170,,,Toilet-2 floor broken/gap formed between toilet basin and floor. Water coming out during flushing.,,,,Civil,Toilet-2 floor repair,high,,,,,,
171,,,"Switch board hanging due to seepage in whole house and because of this the boards also gets current in it.
This has a high rick of geeting shock to anyone in our family.
And it's very unsafe for us in this rainy season. ",,,,Electrical,Switch board-Hanging,high,,,,,,
172,,,water scarcity,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
173,,,N204/2 toilet door hinge repair,,,,Woodwork,Outhouse Toilet door hinge repair,low,,,,,,
174,,,N204/2 repairs to 1st room door,,,,Woodwork,Repairs to Main Entrance door,low,,,,,,
175,,,Drawing room socket spark. Not functional.,,,,Electrical,Socket-Loose connection,low,,,,,,
176,,,Door lock to be replace,,,,Woodwork,Locks of doors - Repair,high,,,,,,
177,,,"Empty water tank 
Urgent",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
178,,,.,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
179,,,Empty water tank,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
180,,,"Hall,1,,24/1,, ladies line corridor tubelight_notworing",,,,Electrical,Light-not working,high,,,,,,
181,,,Toilet  light wire broken ,,,,Electrical,Light-not working,low,,,,,,
182,,,even drinking water is not available since 5 o'clock please help,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
183,,,Drawing room fan not working. Same fan was creating noise few days back and complain raised.,,,,Electrical,Celing fan-Not working,low,,,,,,
184,,,"50/4,,bathroom tubelight_notworking two piece tubelight, notworking",,,,Electrical,Light-not working,high,,,,,,
185,,,"Hall,4,,50/4,, bathroom, led,bulb one piece",,,,Electrical,Light-not working,high,,,,,,
186,,,A dog is dead near the stairs of our building and it is stinking a lot.,,,,Housekeeping,Dead Animal Removal,low,,,,,,
187,,,"Bedroom roof leakage is happening, and the water is falling in bedroom, I request you to please correct it. ",,,,Civil,Repairs to roof leakage,high,,,,,,
188,,,"In kitchen, roof leakage is there please correct it",,,,Civil,Repairs to roof leakage,low,,,,,,
189,,,Too much bush ,,,,Housekeeping,Bush Cutting Required,high,,,,,,
190,,,Very dirty water coming..Pl arrange cleaning of overhead water tank,,,,Water and Plumbing Work,Cleaning of Over Head Tank,low,,,,,,
191,,,Cleaning and broomig required in front and backside of m-28 also due to rain mudform(keechad) is present in front side due to which there is chance of slip trip and fall,,,,Housekeeping,Improper Cleaning,high,,,,,,
192,,,Flusher handle broken,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),high,,,,,,
193,,,"Water accumulated upto 3 places outside of Flat from long time , which is prone to  Dengu and other diseases creation",,,,Housekeeping,Improper Cleaning,low,,,,,,
194,,,Bulb not glow and no power for adaptor ,,,,Electrical,Power point-Not working,high,,,,,,
195,,,"Water seapage from ceiling of bathroom ,kitchen and it's wash area.Due to this plaster of ceiling and wall broken need to repair.",,,,Civil,Bathroom ceiling plaster,low,,,,,,
196,,,pipe jam with civil daberi  need to change  pipe,,,,Housekeeping,Back Drain Jam,low,,,,,,
197,,,ceiling ka plaster gir gaya hi,,,,Civil,Bathroom ceiling plaster,high,,,,,,
198,,,Window door paint,,,,Civil,Toilet-2 Touch up painting,low,,,,,,
199,,,Door hinge need to repair ,,,,Civil,Outhouse door hinge repair,high,,,,,,
200,,,platform broken,,,,Civil,Granite/Kota platform- Replacement,high,,,,,,
201,,,Faucet to be fitted in toilet,,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
202,,,Near pan floor is damage full of insects,,,,Civil,Outhouse Toilet floor repair,low,,,,,,
203,,,"5 Switches not working,better to replace with New.",,,,Electrical,Switch-Not working,high,,,,,,
204,,,Top of tree are together overlapping and broken branches are falling unsafe,,,,Housekeeping,Bush Cutting Required,low,,,,,,
205,,,Telco house exhaust fan not working room no 3,,,,Electrical,Exhaust fan-Not working,low,,,,,,
206,,,Telco house room no 3 tube light not working,,,,Electrical,Light-not working,low,,,,,,
207,,,Light fuige ,,,,Electrical,Light-not working,low,,,,,,
208,,,Over flowing of catchpit at the back side,,,,Housekeeping,Catchpit Jam,high,,,,,,
209,,,Bathroom door hinge mounting wood is displaced from its place,,,,Civil,Bathroom door hinge repair,low,,,,,,
210,,,"The wall plaster is becoming weak and peeling off, with cement and dust falling. In kitchen, bathroom and toilet need touchup work 



",,,,Civil,Bathroom wall plaster,low,,,,,,
211,,,A dog is lying dead in front of the door and it is stinking.,,,,Housekeeping,Dead Animal Removal,high,,,,,,
212,,,Tree branch cutting and trimming ,,,,Civil,Removing tree growth from roof / wall / pipejoint,high,,,,,,
213,,,My front drain has been jammed ,,,,Housekeeping,Front Drain Jam,high,,,,,,
214,,,Urgent,,,,Electrical,Celing fan-Regulator not functioning,high,,,,,,
215,,,Please send water tanker immediately ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
216,,,Antitermite Treatment required at P14/6,,,,Housekeeping,Antitermite Treatment,low,,,,,,
217,,,Toilet flush pipe leakage water keeps on falling through,,,,Water and Plumbing Work,Improper function of Shower,low,,,,,,
218,,,Needs special fogging un and around P14. Also inside house P14/6,,,,Housekeeping,Mosquito Related Complaint ,low,,,,,,
219,,,Window repair,,,,Civil,Toilet-2 window hinge repair,low,,,,,,
220,,,Window repair of laterine,,,,Civil,Toilet-2 window hinge repair,low,,,,,,
221,,,"Window repair of toilet 
",,,,Civil,Toilet-2 window hinge repair,high,,,,,,
222,,,Kitchen. Me. Wasing. Area. Flour. Reparing,,,,Civil,Miscellaneous Work,low,,,,,,
223,,,Switch is not working .need to replace socket in kitchen.,,,,Electrical,Socket-Not working,low,,,,,,
224,,,New Allotment,,,,Electrical,New Allotment,high,,,,,,
225,,,New Allotment,,,,Water and Plumbing Work,New Allotment,high,,,,,,
226,,,New Allotment,,,,Civil,New Allotment,high,,,,,,
227,,,New Allotment,,,,Civil,New Allotment,low,,,,,,
228,,,New Allotment,,,,Electrical,New Allotment,low,,,,,,
229,,,New Allotment,,,,Water and Plumbing Work,New Allotment,low,,,,,,
230,,,"Street light lamp post 04 not working
08 Tube light inside chicken room not working
29 Bulb inside chicken room not working",,,,Electrical,Light-not working,high,,,,,,
231,,,MCP NOT WORKING ,,,,Electrical,Other Misc.Request - old cases,high,,,,,,
232,,,No Water,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
233,,,Water leaking from pipe due to blockage,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
234,,,Drain is clogged,,,,Housekeeping,Front Drain Jam,high,,,,,,
235,,,Plaster beside toilet seat is broken because of which it is always filled with ants,,,,Civil,Miscellaneous Work,low,,,,,,
236,,,1stbedroom door & Balcony antiermite Treatment...,,,,Housekeeping,Antitermite Treatment,high,,,,,,
237,,,When power on the fan then main mcb trip and regulator is not working.,,,,Electrical,Celing fan-Regulator not functioning,low,,,,,,
238,,,All Windows Antiermite Treatment ,,,,Housekeeping,Antitermite Treatment,high,,,,,,
239,,,First and balcony door frame repair,,,,Woodwork,Miscellaneous Work,high,,,,,,
240,,,There is no water in my house ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
241,,,Water over,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
242,,,Broken and earthworms are coming out.,,,,Civil,Repairs to courtyard floor - Full,low,,,,,,
243,,,Full of leafs are there and because of that when it rains water comes inside the house.,,,,Housekeeping,Front Drain Jam,high,,,,,,
244,,,It is broken and earthworms are coming out.,,,,Civil,Repairs to courtyard floor - Full,high,,,,,,
245,,,Window glass broken ,,,,Woodwork,Bedroom-1 window glass pane fixing,low,,,,,,
246,,,Wash basin outlet pipe got disconnected.,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),low,,,,,,
247,,,Water tank empty pls provide tanker,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
248,,,Bathroom jam,,,,Housekeeping,Bathroom Jam,high,,,,,,
249,,,Front Drain jam,,,,Housekeeping,Front Drain Jam,high,,,,,,
250,,,"Empty water tank in my building
Urgent",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
251,,,White wash of Bedroom is was done 2017 after that no white was done,,,,Civil,Bedroom-1 Touch up painting,high,,,,,,
252,,,Empty water pipe,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
253,,,Line 2 conveyor pit accumulated with huge cockroaches at line place.,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
254,,,Cleaning required.,,,,Housekeeping,Back Drain Jam,low,,,,,,
255,,,water scarcity,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
256,,,"04 Street lamp post light not working for the chicken room area
Room no 10
Room no 11
Room no 12",,,,Electrical,Street light-Not working,high,,,,,,
257,,,No water,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
258,,,Send the tanker asap,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
259,,,"Chicken room bulb/holder not working
Room no 08 - 01 bulb
Room no 03 - 02 bulb
Room no 01 - 01 bulb, Holder - 03
Rabbit room - 01 bulb
Room no 14 - 01 bulb
Room no 15 - 03 bulb
Room no 07 - 03 bulb
Room no 16A - 03 bulb
Room no 16B - 05 bulb
Room no 09 - 01 bulb
Room no 17A - 03 bulb, Holder - 01
Room no 17B - 04 bulb
Room no 12 - 01 bulb
Room no 05 - 4 Holder
Room no 06 - 2 Holder",,,,Electrical,Light-not working,high,,,,,,
260,,,"Chicken room tube light not working
Room no 02 - 05 tube light
Room no 03 - 02 tube light
Room no 04 - 01 tube light",,,,Electrical,Tube light-Not glowing,low,,,,,,
261,,,Spark in the main switch board ,,,,Electrical,Electric Fire-in Main Switch,low,,,,,,
262,,,"Electric shock in complete house, kindly assist",,,,Electrical,Electric Shock-Complete house,low,,,,,,
263,,,Remote regulator not working well,,,,Electrical,Celing fan-Regulator not functioning,low,,,,,,
264,,,"Water tank empty
 Pls provide tanker immediately",,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
265,,,"Flush of toilet not working.N-204/10,river view colony,near Niles chowmin",,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),high,,,,,,
266,,,Not working,,,,Electrical,Celing fan-Not working,high,,,,,,
267,,,"Due to a dog lying dead in the ground floor , it is stinking a lot. It is difficult to breathe and pass by because of stinking water that was emitted from its body.",,,,Housekeeping,Improper Cleaning,high,,,,,,
268,,,The water come out  in the ground,,,,Housekeeping,Kitchen Sink Jam,high,,,,,,
269,,,"Water shortage,need tanker ",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
270,,,Water is very dirty cover is also needed for the tank,,,,Water and Plumbing Work,Cleaning of Over Head Tank,high,,,,,,
271,,,Replace hinge,,,,Civil,Bathroom door hinge repair,low,,,,,,
272,,,Pani dopahar 3:00 Baje pahle khatm ho gaya hai abhi tak Nahin Aaya Hai Intezar kar rahe Ki Ab aaega tab aaega Pani Bina bahut dikkat ho raha hai bathroom Laga Hai Lekin Pani Nahin Hai,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
